Student_id,C200,C300,C400,C500,F100,S100,H100,L100,M000,M100,M200,M300,M400,X100,Final Grade
2004951,95.86,92.31,100,88.49,87.61,91.16,84.52,98.21,88.93,80.37,95.72,92.37,95.02,95.58,91.8679
2000550,99.06,96.53,87.54,92.64,97.09,95.06,100,81.33,83.36,95.12,85.6,85.16,97.76,87.4,91.6893
2005051,95.59,96.14,92.44,93.01,98.68,93.65,94.97,90.77,85,86.23,82.97,88.25,97.11,95.89,92.1929
2005151,99.28,96.77,96.41,91.27,100,88.68,99.58,91.93,96.09,89.43,90.04,91.88,95.15,100,94.7507
2005251,78.23,100,88.97,93.29,100,85.94,83.08,99.52,91.84,95.49,92.78,100,90.95,93.57,92.4043
2005351,90.47,96.15,91.72,86.91,96.4,92.38,88.24,87.93,95.25,98.29,84.28,94.44,83.12,91.23,91.2007
2005451,90.62,90.92,88.04,90.32,90.86,100,90.45,82.01,90.8,94.13,93.62,95.2,95.96,85.3,91.3021
2005551,88.93,88.97,93.36,93.59,93.14,89.4,84.58,94.5,97.63,86.73,99.97,90.58,100,92.02,92.3857
2005651,95.37,91.83,96.91,91.45,92.53,88.05,97.99,93.35,93.54,82.84,94.18,96.23,88.45,90.45,92.3693
2005751,95.26,91.73,91.03,90.11,84.51,89.3,100,93.59,81.45,91.65,88.69,88.67,83.72,88.7,89.8864
2005851,88.44,94.55,92,90.54,96.49,95.23,84.43,90,94.47,89.3,92.96,87.87,91.98,92.95,91.515
2005951,83.06,99.22,89.5,90.68,93.65,91.85,93.2,92.41,91.52,94.9,98.18,90.25,91.29,100,92.8364
2000650,86.89,90.65,100,89.45,95.51,92.92,90.2,89.96,82.33,86.79,92.42,96.34,93.74,93.08,91.4486
2006051,94.89,93.38,97.32,86.1,89.87,86.86,94,95.34,98.89,96.53,88.12,87.27,85.78,90.6,91.7821
2006151,98.34,94.4,93.95,91.73,84.37,95.62,98.54,94.23,95.24,85.66,92.54,92.53,95.65,95.92,93.48
2006251,97.96,84.38,94.29,83.86,97.09,92.68,93.65,100,89.67,93.29,99.48,91.25,86.06,93.03,92.6207
2006351,96.83,91.44,92.13,88.36,93.01,92.38,86.96,96.54,84.33,87.57,93.27,95.7,98.55,87.09,91.7257
2006451,84.16,94.13,86.87,95.21,92.24,99.6,90.02,92.01,93.03,84.18,85.93,93.97,96.85,88.77,91.2121
2006551,96.62,86.77,93.26,90.73,88.79,91.62,97.5,92.29,89.7,89.09,91.21,90.39,94.69,100,92.3329
2006651,87.35,78.13,88.33,95.12,94.02,100,88.25,88.16,98.12,96.74,94.78,88.35,90.59,90.55,91.3207
2006751,86.85,85.76,89.18,98.48,94.09,95.86,86.78,88.68,86.99,86.51,94.25,89.85,91.75,95.01,90.7171
2006851,87.57,86,92.67,98.03,88.78,88.53,97.77,80.88,95.89,89.96,89.41,94.15,77.7,86.83,89.5836
2006951,97.05,93.99,91.66,95.75,95.55,95.15,96.78,93.03,96.28,95.91,89.5,93.54,83.16,83.63,92.9271
2000750,94.97,86.05,89.41,85.07,88.09,100,95.99,87.49,93.19,92.51,97.66,97.19,85.17,94.62,91.9579
2007051,87.9,91.57,88.08,86.9,99.44,93.4,89.72,89.54,93.48,98.32,97.66,98.88,95.9,93.23,93.1443
2007151,97.39,96.27,84.64,96.33,93.66,89.5,94.59,90.94,84.58,94.82,91.87,95.49,87.6,100,92.6914
2007251,93.51,87.43,90.93,88.85,90.32,89.48,84.11,90.79,92.46,95.67,89.01,84.74,85.58,92.89,89.6979
2007351,91.02,86.5,90.38,77.39,90.55,89.77,90.03,99.86,91.65,89.65,97.33,90.47,92.78,88.22,90.4
2007451,85.87,95.28,93.18,88.27,96.92,93.87,96.26,96.78,84.12,78.02,99.37,89.89,85.24,94.28,91.2393
2007551,100,90.15,96.73,89.01,87.14,88.11,95.72,89.62,97.09,89.97,91.77,94.02,76.92,98.73,91.7843
2007651,93.22,98.91,85.76,98.57,89.23,85.78,95.2,93.89,89.59,87.28,87.15,86.31,90.84,98.76,91.4636
2007751,84.64,92.28,94.28,90.83,87.47,98.55,92.52,96.92,95.13,97.04,89.12,100,90.91,92.33,93.0014
2007851,90.52,92.47,92.19,91.68,92.01,98.2,94.88,83.76,92.65,92.16,76.91,86.72,93.37,91.85,90.6693
2007951,100,90.36,93.5,88.86,90.08,98.25,100,87.54,91.4,89.43,94.22,92.44,96.87,98.78,93.695
2000850,86.68,96.87,88.18,93.13,93.58,97.21,87.19,98.35,99.38,97.08,95.42,97.36,99.83,92.45,94.4793
2008051,94,93.16,86.45,97.9,89.85,85.53,92.23,93.65,89.37,84.84,90.96,100,100,96.15,92.435
2008151,84.4,87.24,97.95,92.62,95.11,88.68,85.78,96.46,84.32,83.74,93.99,100,91.48,98.59,91.4543
2008251,95.88,87.13,91.55,80.33,85.52,94.86,95.27,88.32,87.86,90.88,99.72,94.79,88.9,96.87,91.2771
2008351,84.96,91.52,92.92,93.92,97.09,100,87.28,90.15,92.37,92.95,100,93.41,85.68,99.51,92.9829
2008451,92.7,95.25,85.7,97.23,86.72,97.71,89.25,91.62,94.96,100,93.07,95.58,97.37,94.38,93.6814
2008551,89.87,87.97,100,96.1,87.85,96.61,87.58,96.46,84.48,90.48,94.53,93.22,92.39,84.28,91.5586
2008651,100,85.74,91.69,91.26,88.46,94.48,86.88,91.15,96.87,91.36,95,95.57,94.87,94.93,92.7329
2008751,95.32,88.51,92.77,89.08,96.78,95.37,93.82,88.51,92.18,94.27,93.04,86.84,90.05,79.28,91.13
2008851,100,95.55,90.08,99.78,97.61,91.63,94.09,100,89.68,97.01,94.05,97.54,86.89,95.57,94.9629
2008951,95.13,98.84,80.88,92.56,100,94.42,100,90.48,98.74,85.08,93.7,96.82,92.15,98.45,94.0893
2000950,96.29,86.59,93.04,88.11,88.56,100,91.34,87.98,94.08,94.32,84.32,100,80.71,90.11,91.1036
2009051,82.58,94.1,86.45,87.98,99.27,87.92,90.42,90.49,95.85,91.39,95.2,83.23,97.71,100,91.6136
2009151,94.12,95.71,88.8,93.81,88.2,88.08,85.71,99.77,95.22,85.59,90.11,100,84.23,82.66,90.8579
2009251,94.95,98.08,95.68,99.27,99.61,86.15,91.4,83.35,99.18,100,91.42,85.39,98.12,100,94.4714
2009351,82.44,95.28,91.96,95.37,97.43,97.28,100,90.34,100,91.18,83.44,92.35,92.06,88.7,92.7021
2009451,88.55,83.08,87.58,94.69,95.29,85.99,85.67,93.15,96.09,100,92.87,88.16,90.82,89.18,90.7943
2009551,96.47,97.33,95.41,100,94.33,86.54,97.13,88.07,96.81,90.2,98.07,86.64,99.15,98.13,94.5914
2009651,92.09,95.44,95.11,92.86,94.16,95.01,89.78,96.25,91.36,97.12,89.62,93.5,85.69,97.09,93.22
2009751,80.33,95.26,85.88,95.39,85.39,91.36,93.65,93.16,91.24,79.92,97.78,92.03,89.17,83.89,89.6036
2009851,92.08,96.74,83.8,91.66,91.59,97.79,88.06,97.3,80.24,92.22,87.18,80.88,92.02,86.46,89.8586
2009951,90.55,98.41,90.4,90.19,86.07,89.21,93.75,94.77,86.65,100,95.86,91.01,94.47,96.42,92.6971
2001050,94.69,82.59,88.68,100,88.43,90.22,88.84,92.04,86.22,93.81,87.43,95.16,92.86,87.64,90.615
2010051,100,92.82,85.92,94.37,100,95.33,85.78,88.2,91.33,88.85,94.13,99.2,95.86,93.88,93.2621
2010050,99.45,87.39,98.61,89.98,87.8,86.34,94.18,94.46,90.06,87.68,93.65,90.76,96.92,89.32,91.9
2010151,86.93,88.91,96.2,88.52,92.49,89.27,95.19,87.84,88.86,90.4,95.56,88.62,94.23,88.54,90.8257
2010150,98.5,88.67,92.21,88.37,90.79,89.77,86.56,96.24,87.16,91.6,89.76,95.32,91.75,99.16,91.8471
2010251,100,89.25,91.63,84.19,93.14,94.8,88.71,89.23,88.24,83.54,97.17,94.92,96.22,100,92.2171
2010250,87.74,95.14,90.36,90.32,89.58,100,95.43,78.83,89.48,93.51,87.74,96.39,92.57,95.63,91.6229
2010351,100,84.63,94.07,95.65,96.04,93.34,92.2,99.9,86.68,85.39,91.49,93.76,80.73,93.64,91.9657
2010350,96.31,92.73,94.79,90.14,98.66,96.79,91.06,84.84,96.9,87.54,94.57,85.18,87.83,89.55,91.9207
2010451,93.99,93.4,90.66,81.68,92.1,93.51,83.65,96.29,77.82,83.05,94.28,90.25,86.91,98.31,89.7071
2010450,89.03,95.87,89.03,97.94,87.05,94.63,97.19,100,92.14,90.39,82.15,91.11,97.88,86.91,92.2371
2010551,93.32,92.85,90.87,91.52,86.17,100,87.1,90.21,86.29,91.36,89.2,100,83.91,88.91,90.8364
2010550,99.03,96.69,86.81,87.47,86,89.76,93.2,95.37,89.57,85.5,94.33,90.27,90.88,98.24,91.6514
2010651,92.74,89.3,91.32,94.97,90.27,90.67,89.86,95.06,90.67,95.31,87.09,89.58,95.64,98.23,92.1936
2010650,95.81,85.53,87.92,100,98.33,95.26,89.02,96.83,97.39,90.95,90.8,87.75,98.38,94.25,93.4443
2010751,95.48,96.89,93.8,92.9,92.59,87.27,90.23,94.37,91.94,92.36,85.31,96.98,90.71,82.6,91.6736
2010750,83.35,96.71,86.81,87.26,88.02,91.23,89.69,85.99,89.21,91.09,82.13,92.34,83.5,93.39,88.6229
2010851,83.6,89.7,92.84,85.39,100,99.26,90.4,90.3,86.72,91.56,94.64,97.39,90.18,86.13,91.2936
2010850,80.28,89.19,94.55,97.87,84.36,91.12,92.78,80.45,82.88,91.15,90.66,92.83,92.18,85.44,88.9814
2010951,94.02,90.54,91.62,91.87,96.5,89.02,99.6,88.8,93.18,84.93,91.7,91.16,87.78,87.21,91.2807
2010950,79.27,84.72,89.87,97.44,92.8,99.25,100,100,94.53,80.81,97.94,98.28,82.7,88.64,91.875
2001150,95.68,95.05,89.17,100,91.18,89.99,81.59,92.84,87.61,92.09,87.87,91.76,87.94,86.27,90.6457
2011051,94.02,94.85,87.46,82.78,89.86,79.5,98.46,91,87.51,86.63,89.21,89.12,100,96.63,90.5021
2011050,97.64,85.25,96.11,89.7,94.43,90.51,92.57,96.46,100,93.55,92.62,85.68,82.79,89.77,91.9343
2011151,89.54,96.52,95.39,96,83.52,90.53,91.33,99.91,96.98,90.66,92.75,89.55,88.66,95.51,92.6321
2011150,87.87,100,90.13,90.91,87.03,91.14,94.96,94.13,94.45,92.89,95.03,90.43,90.78,85.45,91.8
2011251,93.1,85.63,84.63,86.24,100,100,97.96,100,94.78,86.03,100,93.96,93.53,88.46,93.1657
2011250,83.77,89.39,94.6,93.53,95.15,85.77,95.34,94.76,87.5,94.71,93.91,93.55,90.96,89.55,91.6064
2011351,93.39,88.16,88.46,85.51,93.89,87.35,97.11,88.21,87.47,92.88,77.09,92.92,79.65,89.24,88.6664
2011350,91.15,95.39,89.5,98.92,85.72,95.94,95.46,86.97,89.25,97.64,90.31,91.81,93.61,96.72,92.7421
2011451,88.66,96.02,100,100,92.81,90.65,86.22,81.31,90.33,81.88,88.96,91.66,99.32,87.63,91.1036
2011450,94.36,88.66,90.03,96.12,91.39,95.24,93.57,94.3,94.45,100,98.43,86.22,89.43,87.1,92.8071
2011551,99.16,91.83,100,89.15,91.22,88.34,88.88,93.27,93.45,93.87,94.02,94.79,87.92,96.52,93.03
2011550,82.89,100,88.26,96.97,97.47,92.29,88.04,94.61,92.98,88.12,87.9,87.82,83.77,92.63,90.9821
2011651,77.9,95.66,98.1,97.46,87.45,89.36,91.8,88.46,94.48,91.4,89.01,93.34,90.69,88.82,90.995
2011650,91.15,95.79,84.53,91.34,98.35,83.15,92.75,84.09,87.88,90.69,88.51,92.97,90.5,93.46,90.3686
2011751,96.05,96.26,82.53,90.14,85.58,99.01,92.67,100,94.95,93.25,90.11,90.9,93.42,88.06,92.3521
2011851,85.25,88.74,93.27,94.19,84.19,89.99,88.8,89.36,91.72,79.77,90.71,88.07,81.49,100,88.9679
2011951,91.04,93.43,92.23,83.06,92.41,97.04,90.82,92.82,99.3,90.52,100,95.99,93.48,97.95,93.5779
2001250,77.71,93.47,85.06,82.81,94.81,92.52,93.21,89,92.99,83.93,89.57,90.97,86.16,89.68,88.7064
2012051,98.7,80.55,96,84.02,91.89,88.3,88.36,89.6,92.12,100,97.32,95.66,90.17,89.23,91.5657
2012151,89.96,85.05,96.4,88.31,89.27,90.27,95.08,95.22,94.62,80,96.57,86.01,88.24,91.43,90.4593
2012251,93.91,88.2,99.56,90.37,95.91,90.38,91.39,85.14,93.62,93.52,92.58,92.62,89.28,87.29,91.6979
2012351,85.84,99.41,94.91,86.84,96.87,94.9,94.83,92.7,88.42,93.49,93.13,91.66,98.15,98.45,93.5429
2012451,90.33,91.47,86.24,96.74,93.31,93.6,85.37,93.46,92.57,98.32,94.79,83.87,93.12,96.95,92.1529
2012551,93.42,90.76,83.34,87.41,96.46,93.84,96.69,96.65,90.44,88.85,91.7,95.73,91.93,96.05,92.3764
2012651,90.23,99.81,93.99,91.8,84.23,92.36,85.05,88.05,97.04,86.31,100,93.82,91.58,93.01,91.9486
2012751,85.51,85.06,97.65,100,91.71,80.25,93.4,89.24,94.26,96.97,87.3,100,87.28,94.58,91.6579
2012851,91.21,90.8,95.83,100,87.15,92.63,87.79,91.86,92.09,91.17,86.13,91.65,80.13,87.65,90.435
2012951,92.15,96.63,89.16,90.67,85.95,95.4,92.35,87.32,100,95.78,87.89,89.77,91.19,100,92.4471
2001350,85.84,100,91.98,85.13,87.04,100,90.7,90.47,99.17,96.23,87.09,93.29,89.07,95.36,92.2407
2013051,95.55,87.62,86.54,97.85,85.43,92.51,88.06,96.9,95.98,86.84,87.41,98.47,98.08,90.69,91.995
2013151,94.97,100,90.4,94.7,92.2,95.75,87.79,96.25,85.41,92.87,86.94,98.95,82.33,85.73,91.735
2013251,93.86,94.88,82.23,82.45,90.49,85.97,87.41,91.07,100,94.4,90.34,90.68,95.22,100,91.3571
2013351,99.24,87.19,86.08,92.13,94.5,84.57,87.22,94.83,98.19,84.32,90.31,90.89,86.55,88.79,90.3436
2013451,86.32,87.15,100,90.54,85.39,90.11,91.61,92.84,96.17,85.4,97.12,94.94,94.89,93.81,91.8779
2013551,97.43,92.07,89.5,94.52,92.42,87.9,95.43,97.38,93.21,87.74,85.06,96.35,85.94,96.43,92.2414
2013651,79.83,92.26,93.95,81.2,91.84,96.2,95.96,96.09,97.66,91.59,94.37,93.47,91.49,88.87,91.77
2013751,95.11,99.47,96.07,95.78,94.06,91.71,91.3,89.82,100,90.22,97.22,92.38,91.99,90.64,93.9836
2013851,96.94,94.93,91.51,97.76,88.41,91.61,100,89.98,84.54,96.96,100,88.94,96.18,89.16,93.3514
2013951,90.73,97.57,94.5,96.02,94.81,94.02,98.06,94.99,89.05,89.61,88.6,93.9,87.94,93.99,93.1279
2001450,87.89,100,94.04,87.82,88.84,95.07,92,91.34,85.6,99.54,95.48,80.37,98.32,85.97,91.5914
2014051,94.21,97.12,95.84,93.15,89.97,93.22,98.42,98.86,94.04,95.16,91,95.27,89.12,97.56,94.4957
2014151,91.22,97.99,86.13,91.07,97.71,89.22,87.62,90.8,94.06,95.43,100,88.04,86.54,93.78,92.115
2014251,98.44,91.59,93.11,87.97,91.71,100,85.93,86.59,95.65,94.75,91.91,100,99.15,93,93.5571
2014351,89.68,98.79,95.78,93.21,90.87,87.42,92.2,91.71,90.18,100,87.5,90.57,89.94,99.8,92.6893
2014451,87.26,92.61,87.51,95.11,96.18,89.59,91.94,92.53,94.83,93.66,94.42,86.21,94.55,97.52,92.4229
2014551,95.36,93.45,91.05,88.54,96.07,84.93,95.05,95.32,91.87,87.92,81.13,90.92,92.56,82.56,90.4807
2014651,91.2,97.78,89.9,90.73,89.74,98.34,97.55,95.77,88.94,90.62,99.19,88.77,95.34,91.93,93.2714
2014751,96.59,100,93.45,90.43,93.47,97.4,98.5,93.52,84.62,91.04,85.2,88.79,100,92.05,93.2186
2014851,89,87.41,95.98,89.78,94.51,92.17,95.62,87.7,92.47,90.92,88.28,94.95,91.5,93.38,91.6907
2014951,89.36,98.11,100,89.79,88.66,87.95,98.76,96.66,88.57,94.78,89.23,90.09,86.19,81.71,91.4186
2001550,92.66,85.82,89.7,93.86,89.19,100,89.77,96.59,82.16,91.73,93.82,96.82,83.72,95.9,91.5529
2015051,99.6,86.73,86.7,83.4,100,88.17,90.45,100,92.02,100,89.03,91.23,100,94.18,92.965
2015151,85.91,90.3,96.68,85.65,90.03,100,97.68,100,85.06,93,98.89,85.26,89.24,92.66,92.1686
2015251,92.01,97.21,88.48,87.55,88.82,96.48,93.47,96.24,93.94,90.23,93.25,90.4,85.86,92.84,91.9129
2015351,90.59,92.88,87.11,94.31,84.03,94.34,98.48,95.75,96.92,96.34,92.56,100,96.32,92,93.6879
2015451,87.35,86.69,93.68,87.67,94.48,89.49,82.46,86.11,90.57,92.52,93.81,95.46,94.08,97.61,90.8557
2015551,88.3,85.98,91.16,90.38,81.88,91.82,94.78,90.26,88.54,100,81.99,93.83,100,87.91,90.4879
2015651,90.05,98.78,95.75,88.85,85.74,99.72,100,90.66,97.23,94.95,99.28,97.17,88.9,89.58,94.0471
2015751,80.63,94.72,89.71,86.46,92.41,90.62,94.15,91.92,89.5,97.39,93.05,94.68,86.42,96.64,91.3071
2015851,91.99,98.65,92.22,96.34,92.19,91.2,88.19,86,100,95,84.35,96.55,83.9,100,92.6129
2015951,100,90.72,100,100,95.8,90.17,96.77,94.66,95.17,88.42,91.02,84.65,97.13,91.58,94.0064
2001650,87.83,93.28,98.32,92.38,91.98,88.28,82.67,89.27,86.69,93.74,97.4,84.86,86.61,93.02,90.4521
2016051,92.48,100,88.26,100,89.46,94.4,88.85,84.48,90.34,83.55,91.6,84.95,86.09,87.24,90.1214
2016151,91.9,86.55,85.75,93.13,92.68,96.89,91.91,97.05,90.6,93.32,96.61,95.67,93.94,92.07,92.7193
2016251,95.11,86.81,96.91,77.61,92.4,82.8,95.69,90.68,89.28,93.47,97.73,89.51,82.98,88.3,89.9486
2016351,90.98,92.7,87,92.79,93.14,89.66,87.41,88.8,97.36,92.16,83.03,94.94,96.34,94.43,91.4814
2016451,91.79,93.06,99.78,97.62,95.22,91.44,91.92,88.81,92.39,81.99,87.2,93.47,86.65,97.09,92.0307
2016551,93.35,91.96,93.65,92.98,89.62,94.07,89.24,87.45,80.3,95.29,87.67,100,88.86,100,91.7457
2016651,93.94,83.04,86.52,94.6,97.38,86.02,97.85,87.75,85.22,92.6,89.89,95.96,84.78,91.19,90.4814
2016751,94.57,89.17,93.98,88.92,94.85,85.92,97.04,97.36,100,87.26,83.08,99.32,86.16,93.58,92.2293
2016851,84.13,100,88.39,99.36,91.86,95.49,88.42,91.87,86.86,93.43,87.09,90.29,90.98,100,92.0121
2016951,94.02,88.48,79.47,100,91.41,87.42,86.25,91.7,96.61,87.51,88.77,100,83.75,90.2,90.3993
2001750,93.21,90.41,94.69,94.79,92.86,94.67,85.43,84.41,88.88,83.31,98.09,98.73,97.13,96.31,92.3514
2017051,94.21,82.79,99.33,90.88,97.6,97.48,94.72,99.76,87.12,87.53,89.64,96.42,86.36,91.33,92.5121
2017151,90.67,89.61,87.51,84.79,83.8,94.27,88.84,90.26,88.28,91.08,86.25,88.24,89.58,96.25,89.245
2017251,83.29,94.72,85.48,94.96,87.9,91.54,84.29,89.39,85.29,99.54,95.23,97.71,91.24,86.05,90.4736
2017351,91.73,94.48,100,92.94,89.87,86.75,94.65,98.57,90.43,90.4,93.6,90.33,94.55,89.51,92.7007
2017451,92.24,92.87,93.9,86.41,96.23,89.41,88.28,90.95,82.93,98.88,91.83,93.38,81.68,89.07,90.5757
2017551,93.57,96.89,87.12,96.72,90.26,94.87,96.07,88.99,100,91.23,88.19,91.46,92.51,96.87,93.1964
2017651,99.53,90.9,96.61,91.64,87.67,77.29,97.1,91.25,91.79,89,90.59,92.6,100,100,92.5693
2017751,90.16,90.07,97.72,96.9,96.81,90.52,93.31,86.62,89.13,84.4,93.76,92.57,94.71,88.24,91.78
2017851,92.74,92.92,85.09,91.58,85.57,100,85.48,83.51,93.22,97.72,90.84,89.23,93.31,93.58,91.0564
2017951,84.86,97.03,99.81,100,100,86.52,90.49,92.7,87.78,92.34,89.47,86.44,89.04,97.05,92.395
2001850,89.49,94.25,97.89,92.73,95.44,87.45,90.98,90.26,86.35,97.33,95.23,92.36,86.9,91.84,92.0357
2018051,94.34,100,92.65,94.51,86.58,91.45,95.86,86.84,86.04,87.02,100,86.83,92.48,84.45,91.3607
2018151,95.41,100,96.83,88.15,94.98,91.77,93.46,94.42,100,86.08,84.51,93.72,86.03,86.95,92.3079
2018251,88.67,83.04,94.04,94.92,84.51,89.99,78.59,100,85.23,89.5,94.28,96.99,83.11,87.74,89.3293
2018351,90.48,100,92.91,93.37,100,95.08,90.68,90.99,93.82,97.39,93.29,91.5,91.8,93.59,93.9214
2018451,97.95,92.58,89.37,88.85,90.23,100,86.3,87.75,92.73,96.15,100,90.16,97.81,97.32,93.3714
2018551,92.51,99.9,98.03,85.17,90.56,88.59,90.85,93.71,86.33,88.68,89.3,97.71,92.02,77.71,90.7907
