Age,Gender,Marital Status,Student_ID,Graduation Date,Spouse Age,child_1,child_2,child_3,child_4
43,Female,Married,2023051,2020-06-05,38,15,8,15,
38,Male,Married,2023151,2020-06-05,38,17,9,10,5
45,Male,Married,2023251,2020-06-05,41,7,13,13,11
39,Female,Married,2023351,2020-06-05,43,4,15,2,11
30,Female,Married,2023451,2020-06-05,30,1,,,
37,Male,Married,2023551,2020-06-05,38,14,7,,
35,Male,Married,2023651,2020-06-05,30,17,16,15,
31,Male,Single,2023751,2020-06-05,,,,,
39,Male,Married,2023851,2020-06-05,44,16,12,17,11
40,Male,Married,2023951,2020-06-05,35,1,,,
31,Female,Single,2024051,2020-06-05,,,,,
39,Male,Married,2024151,2020-06-05,39,8,14,9,
30,Male,Single,2024251,2020-06-05,,,,,
31,Male,Single,2024351,2020-06-05,,,,,
43,Male,Married,2024451,2020-06-05,40,1,,,
39,Male,Single,2024551,2020-06-05,,,,,
38,Female,Married,2024651,2020-06-05,41,1,,,
41,Female,Married,2024751,2020-06-05,46,8,11,,
32,Male,Married,2024851,2020-06-05,35,11,8,10,1
44,Female,Single,2024951,2020-06-05,,,,,
45,Male,Married,2025051,2020-06-05,46,15,,,
35,Male,Married,2025151,2020-06-05,35,1,,,
43,Female,Single,2025251,2020-06-05,,,,,
43,Female,Married,2025351,2020-06-05,44,5,9,13,
34,Female,Married,2025451,2020-06-05,30,5,,,
44,Male,Married,2025551,2020-06-05,41,14,10,,
40,Male,Married,2025651,2020-06-05,43,17,4,13,
39,Male,Married,2025751,2020-06-05,36,7,,,
31,Male,Married,2025851,2020-06-05,30,1,,,
30,Male,Married,2025951,2020-06-05,30,14,9,,
31,Female,Married,2026051,2020-06-05,31,5,4,12,
30,Female,Single,2026151,2020-06-05,,,,,
41,Male,Married,2026251,2020-06-05,46,15,,,
42,Male,Single,2026351,2020-06-05,,,,,
40,Male,Married,2026451,2020-06-05,35,14,1,,
43,Male,Single,2026551,2020-06-05,,,,,
42,Female,Married,2026651,2020-06-05,41,2,2,,
42,Female,Single,2026751,2020-06-05,,,,,
42,Male,Married,2026851,2020-06-05,40,1,,,
31,Female,Single,2026951,2020-06-05,,,,,
35,Female,Single,2027051,2020-06-05,,,,,
40,Male,Married,2027151,2020-06-05,43,13,9,1,15
38,Male,Married,2027251,2020-06-05,39,8,5,7,
38,Female,Single,2027351,2020-06-05,,,,,
37,Male,Married,2027451,2020-06-05,36,13,,,
39,Male,Single,2027551,2020-06-05,,,,,
43,Male,Married,2027651,2020-06-05,44,8,10,,
45,Male,Married,2027751,2020-06-05,48,9,10,3,16
30,Male,Married,2027851,2020-06-05,29,5,6,3,12
39,Male,Married,2027951,2020-06-05,35,12,10,,
30,Male,Married,2028051,2020-06-05,31,5,17,9,12
44,Male,Married,2028151,2020-06-05,47,1,,,
31,Female,Single,2028251,2020-06-05,,,,,
38,Male,Married,2028351,2020-06-05,39,14,,,
45,Female,Married,2028451,2020-06-05,50,9,,,
40,Female,Married,2028551,2020-06-05,45,17,,,
43,Male,Married,2028651,2020-06-05,46,2,,,
37,Male,Single,2028751,2020-06-05,,,,,
40,Male,Married,2028851,2020-06-05,42,1,,,
37,Male,Married,2028951,2020-06-05,34,17,,,
30,Male,Married,2029051,2020-06-05,32,1,,,
36,Male,Single,2029151,2020-06-05,,,,,
39,Male,Married,2029251,2020-06-05,42,1,,,
45,Female,Single,2029351,2020-06-05,,,,,
37,Female,Married,2029451,2020-06-05,33,1,,,
38,Male,Married,2029551,2020-06-05,43,13,2,1,
42,Female,Married,2029651,2020-06-05,46,1,,,
30,Female,Married,2029751,2020-06-05,25,10,2,17,
30,Female,Married,2029851,2020-06-05,32,6,,,
33,Male,Married,2029951,2020-06-05,34,16,4,14,
42,Male,Single,2030051,2020-06-05,,,,,
40,Male,Married,2030151,2020-06-05,45,6,1,,
32,Female,Married,2030251,2020-06-05,28,11,11,15,
38,Male,Married,2030351,2020-06-05,37,8,,,
43,Male,Married,2030451,2020-06-05,40,8,4,1,
40,Male,Married,2030551,2020-06-05,39,1,,,
31,Male,Married,2030651,2020-06-05,35,17,,,
30,Male,Married,2030751,2020-06-05,31,10,12,15,9
41,Male,Single,2030851,2020-06-05,,,,,
38,Male,Married,2030951,2020-06-05,35,2,,,
41,Female,Single,2031051,2020-06-05,,,,,
33,Female,Married,2031151,2020-06-05,35,4,,,
31,Male,Single,2031251,2020-06-05,,,,,
35,Male,Married,2031351,2020-06-05,40,1,,,
34,Male,Married,2031451,2020-06-05,31,10,,,
34,Male,Single,2031551,2020-06-05,,,,,
36,Female,Single,2031651,2020-06-05,,,,,
31,Male,Married,2031751,2020-06-05,27,10,8,8,
32,Male,Single,2031851,2020-06-05,,,,,
31,Male,Married,2031951,2020-06-05,28,6,3,10,
37,Male,Married,2032051,2020-06-05,41,6,,,
43,Male,Married,2032151,2020-06-05,44,1,,,
36,Male,Married,2032251,2020-06-05,40,7,15,3,1
31,Female,Married,2032351,2020-06-05,35,1,16,,
39,Male,Married,2032451,2020-06-05,39,6,10,7,16
40,Female,Married,2032551,2020-06-05,35,1,,,
43,Male,Married,2032651,2020-06-05,40,16,15,14,11
42,Male,Married,2032751,2020-06-05,47,3,,,
32,Male,Married,2032851,2020-06-05,27,6,4,,
34,Male,Married,2032951,2020-06-05,36,11,15,7,
39,Male,Married,2033051,2020-06-05,43,3,3,17,
40,Female,Single,2033151,2020-06-05,,,,,
35,Male,Single,2033251,2020-06-05,,,,,
40,Female,Single,2033351,2020-06-05,,,,,
34,Male,Married,2033451,2020-06-05,29,4,5,3,9
42,Male,Single,2033551,2020-06-05,,,,,
39,Female,Married,2033651,2020-06-05,42,10,,,
43,Female,Married,2033751,2020-06-05,46,15,,,
36,Male,Married,2033851,2020-06-05,38,9,16,13,
42,Male,Single,2033951,2020-06-05,,,,,
35,Male,Married,2034051,2020-06-05,40,1,13,,
34,Male,Single,2034151,2020-06-05,,,,,
32,Male,Married,2034251,2020-06-05,36,17,11,,
34,Male,Married,2034351,2020-06-05,36,1,,,
43,Female,Married,2034451,2020-06-05,42,6,10,16,
31,Male,Married,2034551,2020-06-05,28,7,11,1,
34,Male,Married,2034651,2020-06-05,29,15,,,
39,Male,Married,2034751,2020-06-05,42,1,,,
39,Female,Married,2034851,2020-06-05,40,9,12,,
40,Male,Married,2034951,2020-06-05,35,3,16,3,10
37,Male,Married,2035051,2020-06-05,34,13,9,7,5
32,Male,Married,2035151,2020-06-05,30,10,13,3,
31,Male,Married,2035251,2020-06-05,28,14,8,16,
37,Male,Married,2035351,2020-06-05,37,4,14,8,
39,Male,Married,2035451,2020-06-05,42,10,3,15,3
43,Male,Married,2035551,2020-06-05,46,13,14,,
39,Male,Married,2035651,2020-06-05,38,3,12,16,17
31,Female,Married,2035751,2020-06-05,28,3,,,
41,Male,Married,2035851,2020-06-05,37,12,15,1,1
37,Female,Single,2035951,2020-06-05,,,,,
39,Male,Married,2036051,2020-06-05,42,7,17,6,
34,Male,Married,2036151,2020-06-05,38,10,8,5,8
30,Male,Married,2036251,2020-06-05,25,15,7,,
44,Female,Married,2036351,2020-06-05,41,13,17,5,
38,Female,Single,2036451,2020-06-05,,,,,
39,Female,Married,2036551,2020-06-05,36,2,7,4,12
40,Male,Married,2036651,2020-06-05,39,4,2,,
44,Male,Married,2036751,2020-06-05,48,1,,,
40,Male,Married,2036851,2020-06-05,37,12,,,
32,Male,Married,2036951,2020-06-05,37,1,10,3,16
38,Male,Married,2037051,2020-06-05,39,11,15,16,
38,Female,Married,2037151,2020-06-05,43,7,12,15,
35,Male,Married,2037251,2020-06-05,31,8,,,
34,Male,Married,2037351,2020-06-05,30,11,,,
38,Male,Married,2037451,2020-06-05,37,8,11,1,
42,Female,Single,2037551,2020-06-05,,,,,
43,Male,Married,2037651,2020-06-05,46,10,11,,
30,Female,Married,2037751,2020-06-05,27,1,,,
44,Male,Married,2037851,2020-06-05,39,12,8,1,
45,Male,Single,2037951,2020-06-05,,,,,
39,Male,Married,2038051,2020-06-05,44,5,2,12,
40,Female,Married,2038151,2020-06-05,42,14,,,
34,Male,Married,2038251,2020-06-05,36,7,,,
30,Male,Married,2038351,2020-06-05,26,6,,,
44,Male,Married,2038451,2020-06-05,46,1,,,
37,Male,Single,2038551,2020-06-05,,,,,
30,Male,Single,2038651,2020-06-05,,,,,
39,Female,Married,2038751,2020-06-05,44,1,,,
37,Male,Married,2038851,2020-06-05,33,10,2,13,
45,Male,Married,2038951,2020-06-05,50,1,,,
30,Male,Single,2039051,2020-06-05,,,,,
42,Male,Married,2039151,2020-06-05,38,1,2,3,
43,Female,Married,2039251,2020-06-05,41,1,,,
39,Female,Married,2039351,2020-06-05,38,15,14,8,16
37,Male,Married,2039451,2020-06-05,40,15,16,12,
34,Male,Married,2039551,2020-06-05,33,9,14,10,
45,Male,Married,2039651,2020-06-05,46,2,,,
44,Male,Married,2039751,2020-06-05,40,15,3,,
30,Male,Married,2039851,2020-06-05,31,4,,,
37,Female,Married,2039951,2020-06-05,42,6,16,4,4
40,Male,Married,2040051,2020-06-05,40,7,13,16,
37,Female,Single,2040151,2020-06-05,,,,,
41,Male,Married,2040251,2020-06-05,42,4,6,,
37,Male,Single,2040351,2020-06-05,,,,,
33,Male,Married,2040451,2020-06-05,32,2,,,
36,Female,Married,2040551,2020-06-05,33,8,,,
43,Male,Married,2040651,2020-06-05,47,14,13,3,17
42,Female,Married,2040751,2020-06-05,40,6,11,6,7
45,Male,Married,2040851,2020-06-05,48,10,8,4,
35,Female,Single,2040951,2020-06-05,,,,,
38,Male,Married,2041051,2020-06-05,42,1,16,17,10
43,Male,Single,2041151,2020-06-05,,,,,
35,Male,Single,2041251,2020-06-05,,,,,
36,Male,Married,2041351,2020-06-05,35,5,15,,
40,Male,Married,2041451,2020-06-05,39,16,8,,
44,Male,Married,2041551,2020-06-05,40,11,10,1,
40,Male,Married,2041651,2020-06-05,38,2,,,
43,Male,Single,2041751,2020-06-05,,,,,
38,Male,Married,2041851,2020-06-05,35,4,1,10,
36,Male,Married,2041951,2020-06-05,39,5,1,,
33,Male,Married,2042051,2020-06-05,30,13,12,16,
39,Female,Married,2042151,2020-06-05,35,13,10,10,17
42,Female,Single,2042251,2020-06-05,,,,,
39,Male,Married,2042351,2020-06-05,40,16,7,,
36,Female,Married,2042451,2020-06-05,36,16,8,15,1
31,Female,Married,2042551,2020-06-05,28,8,,,
33,Female,Single,2042651,2020-06-05,,,,,
43,Female,Single,2042751,2020-06-05,,,,,
41,Male,Single,2042851,2020-06-05,,,,,
36,Female,Married,2042951,2020-06-05,39,11,,,
36,Male,Single,2043051,2020-06-05,,,,,
45,Male,Married,2043151,2020-06-05,43,6,,,
45,Female,Married,2043251,2020-06-05,43,14,8,,
36,Male,Married,2043351,2020-06-05,36,9,,,
31,Male,Married,2043451,2020-06-05,32,10,3,16,
31,Male,Married,2043551,2020-06-05,28,10,11,10,
42,Female,Married,2043651,2020-06-05,37,6,1,12,
36,Male,Single,2043751,2020-06-05,,,,,
37,Male,Single,2043851,2020-06-05,,,,,
30,Male,Married,2043951,2020-06-05,29,1,,,
32,Female,Married,2044051,2020-06-05,30,2,15,7,6
45,Female,Married,2044151,2020-06-05,49,14,1,10,
41,Female,Married,2044251,2020-06-05,41,3,3,,
33,Male,Married,2044351,2020-06-05,31,4,5,10,
34,Female,Single,2044451,2020-06-05,,,,,
36,Male,Married,2044551,2020-06-05,40,9,10,4,
39,Male,Married,2044651,2020-06-05,39,4,10,4,
44,Female,Married,2044751,2020-06-05,39,12,12,,
44,Male,Married,2044851,2020-06-05,46,3,1,10,
41,Female,Married,2044951,2020-06-05,37,12,16,,
43,Male,Married,2045051,2020-06-05,44,14,14,7,8
40,Male,Married,2045151,2020-06-05,38,17,,,
44,Male,Single,2045251,2020-06-05,,,,,
32,Male,Married,2045351,2020-06-05,28,1,,,
33,Female,Single,2045451,2020-06-05,,,,,
38,Male,Married,2045551,2020-06-05,33,2,,,
39,Male,Single,2045651,2020-06-05,,,,,
43,Male,Married,2045751,2020-06-05,47,7,10,,
41,Male,Married,2045851,2020-06-05,43,1,8,10,
39,Female,Single,2045951,2020-06-05,,,,,
34,Male,Single,2046051,2020-06-05,,,,,
45,Female,Single,2046151,2020-06-05,,,,,
43,Male,Single,2046251,2020-06-05,,,,,
33,Female,Single,2046351,2020-06-05,,,,,
32,Male,Married,2046451,2020-06-05,33,2,4,,
42,Male,Married,2046551,2020-06-05,44,7,17,4,
39,Male,Single,2046651,2020-06-05,,,,,
38,Male,Married,2046751,2020-06-05,40,15,11,11,9
41,Male,Married,2046851,2020-06-05,41,3,12,1,
33,Female,Married,2046951,2020-06-05,30,6,,,
44,Male,Married,2047051,2020-06-05,39,4,,,
45,Male,Married,2047151,2020-06-05,49,16,,,
44,Male,Married,2047251,2020-06-05,42,1,,,
45,Male,Married,2047351,2020-06-05,47,1,9,5,
38,Female,Married,2047451,2020-06-05,42,1,,,
40,Male,Married,2047551,2020-06-05,38,2,3,,
42,Male,Married,2047651,2020-06-05,42,7,10,5,
37,Male,Married,2047751,2020-06-05,36,12,14,14,17
41,Male,Married,2047851,2020-06-05,39,10,4,10,
31,Female,Married,2047951,2020-06-05,35,4,7,,
43,Female,Married,2048051,2020-06-05,41,3,1,,
38,Male,Married,2048151,2020-06-05,38,1,,,
31,Male,Married,2048251,2020-06-05,29,1,,,
33,Male,Single,2048351,2020-06-05,,,,,
37,Female,Married,2048451,2020-06-05,34,3,11,10,3
35,Male,Single,2048551,2020-06-05,,,,,
42,Male,Married,2048651,2020-06-05,43,13,8,3,
30,Female,Single,2048751,2020-06-05,,,,,
30,Male,Married,2048851,2020-06-05,31,4,,,
42,Female,Single,2048951,2020-06-05,,,,,
39,Male,Single,2049051,2020-06-05,,,,,
34,Female,Married,2049151,2020-06-05,32,1,,,
44,Male,Married,2049251,2020-06-05,44,7,,,
33,Male,Single,2049351,2020-06-05,,,,,
34,Male,Married,2049451,2020-06-05,31,3,,,
34,Male,Married,2049551,2020-06-05,29,16,15,1,
38,Male,Single,2049651,2020-06-05,,,,,
30,Female,Married,2049751,2020-06-05,29,1,,,
36,Male,Married,2049851,2020-06-05,32,12,7,2,
41,Male,Married,2049951,2020-06-05,40,14,13,12,8
40,Male,Married,2050051,2020-06-05,38,1,,,
36,Male,Married,2050151,2020-06-05,33,9,,,
33,Male,Married,2050251,2020-06-05,28,11,,,
39,Male,Single,2050351,2020-06-05,,,,,
31,Male,Married,2050451,2020-06-05,31,13,7,15,2
33,Female,Married,2050551,2020-06-05,36,1,,,
39,Male,Single,2050651,2020-06-05,,,,,
32,Female,Married,2050751,2020-06-05,33,11,,,
38,Male,Single,2050851,2020-06-05,,,,,
36,Male,Single,2050951,2020-06-05,,,,,
36,Male,Married,2051051,2020-06-05,39,1,16,12,10
38,Male,Married,2051151,2020-06-05,39,15,12,3,9
39,Female,Single,2051251,2020-06-05,,,,,
32,Male,Single,2051351,2020-06-05,,,,,
40,Male,Married,2051451,2020-06-05,36,15,,,
39,Male,Married,2051551,2020-06-05,36,12,6,9,16
41,Male,Married,2051651,2020-06-05,43,1,,,
35,Female,Single,2051751,2020-06-05,,,,,
32,Male,Single,2051851,2020-06-05,,,,,
30,Male,Single,2051951,2020-06-05,,,,,
31,Male,Married,2052051,2020-06-05,32,3,14,,
42,Female,Married,2052151,2020-06-05,42,1,,,
31,Female,Single,2052251,2020-06-05,,,,,
41,Male,Married,2052351,2020-06-05,37,7,12,8,
43,Female,Married,2052451,2020-06-05,44,8,11,10,
31,Male,Married,2052551,2020-06-05,30,1,9,,
33,Male,Married,2052651,2020-06-05,37,14,4,4,
40,Male,Married,2052751,2020-06-05,42,1,,,
45,Male,Single,2052851,2020-06-05,,,,,
