Branch of Service,Rank,Functional Branch,Student_ID,Service Component,Commissioning Source
Army,MAJ,Logistics,2028451,Active,ROTC
Army,CPT,Engineer,2028551,Active,ROTC
Army,MAJ,Infantry,2028651,Active,OCS
Air Force,MAJ,Maintenance,2028751,Reserve,Service Academy
Army,MAJ,Finance Corps,2028851,Reserve,OCS
Army,MAJ,Medical Corps,2028951,National Guard,Direct Commission (Medical)
Air Force,MAJ,Medical,2029051,National Guard,Direct Commission (Medical)
Customs and Border Protection (CBP),GS-12,Logistics,2300951,Civilian ,n/a
Army,MAJ,Finance Corps,2029251,Active,Service Academy
Army,CPT,Military Police,2029351,Active,ROTC
Army,MAJ,Finance Corps,2029451,Active,OCS
Army,CPT,Armor,2029551,Active,Service Academy
Army,CPT,Logistics,2029651,Active,ROTC
Army,CPT,Aviation,2029751,Active,OCS
Army,CPT,Intelligence,2029851,Active,ROTC
Army,MAJ,Logistics,2029951,Active,ROTC
Army,CPT,Logistics,2030051,Active,OCS
Army,MAJ,Logistics,2030151,Active,ROTC
Army,CPT,Armor,2030251,National Guard,Service Academy
Air Force,CPT,Intelligence,2030351,Active,ROTC
Army,MAJ,Field Artillery,2030451,National Guard,OCS
Army,CPT,Finance Corps,2030551,Active,Service Academy
Navy,LCDR,Medical,2030651,Reserve,Direct Commission (Medical)
Army,MAJ,Logistics,2030751,National Guard,ROTC
Army,CPT,Military Police,2030851,Active,ROTC
Army,CPT,Medical Corps,2030951,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2031051,Active,OCS
Army,CPT,Aviation,2031151,Active,OCS
Army,MAJ,Finance Corps,2031251,Active,Service Academy
Army,MAJ,Armor,2031351,National Guard,ROTC
Army,MAJ,Infantry,2031451,National Guard,OCS
Army,MAJ,Medical Corps,2031551,National Guard,Direct Commission (Medical)
Army,CPT,Signal Corps,2031651,National Guard,ROTC
Army,CPT,Intelligence,2031751,Active,ROTC
Army,CPT,Armor,2031851,Active,Service Academy
Army,CPT,Armor,2031951,Reserve,OCS
Army,MAJ,Signal Corps,2032051,Active,ROTC
Army,MAJ,Intelligence,2032151,Active,Service Academy
Army,MAJ,Armor,2032251,National Guard,Service Academy
Customs and Border Protection (CBP),GS-12,Cyber Operations,2312951,Civilian ,n/a
Army,CPT,Aviation,2032451,Active,ROTC
Customs and Border Protection (CBP),GS-13,Cyber Operations,2531551,Civilian ,n/a
Army,MAJ,Armor,2032651,Active,OCS
Army,CPT,Finance Corps,2032751,Active,Service Academy
Marines,MAJ,Aviation,2032851,Active,ROTC
Customs and Border Protection (CBP),GS-13,Contracting,2555551,Civilian ,n/a
Navy,LCDR,Submarine,2033051,Active,ROTC
Army,MAJ,Aviation,2033151,Active,Service Academy
Army,CPT,Field Artillery,2033251,Active,OCS
Army,MAJ,Engineer,2033351,National Guard,ROTC
Army,MAJ,Armor,2033451,Active,Service Academy
Army,MAJ,Armor,2033551,Active,ROTC
Navy,LT,Submarine,2033651,Active,OCS
Air Force,MAJ,Medical,2033751,Active,Direct Commission (Medical)
Customs and Border Protection (CBP),GS-13,Medical,2555651,Civilian ,n/a
Army,MAJ,Armor,2033951,Active,ROTC
Army,MAJ,Military Police,2034051,Active,OCS
Army,MAJ,Logistics,2034151,Active,OCS
Air Force,CPT,Maintenance,2034251,Active,Service Academy
Army,MAJ,Signal Corps,2034351,Active,ROTC
Marines,MAJ,Intelligence,2034451,Reserve,Service Academy
Army,MAJ,Signal Corps,2034551,Reserve,ROTC
Marines,CPT,Logistics,2034651,Active,OCS
Army,MAJ,Engineer,2034751,Active,ROTC
Army,CPT,Finance Corps,2034851,Active,ROTC
Army,CPT,Engineer,2034951,Active,OCS
Army,CPT,Infantry,2035051,Active,OCS
Army,CPT,Finance Corps,2035151,Active,OCS
Army,CPT,Engineer,2035251,Active,OCS
Army,MAJ,Medical Corps,2035351,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2035451,Active,Service Academy
Army,CPT,Infantry,2035551,Active,ROTC
Air Force,CPT,Pilot,2035651,Active,ROTC
Army,MAJ,Military Police,2035751,National Guard,Service Academy
Army,MAJ,Armor,2035851,National Guard,ROTC
Army,CPT,Finance Corps,2035951,Active,ROTC
Army,MAJ,Engineer,2036051,Active,ROTC
Army,MAJ,Armor,2036151,Active,ROTC
Customs and Border Protection (CBP),GS-13,Medical,2556151,Civilian ,n/a
Army,MAJ,Intelligence,2036351,Active,OCS
Air Force,MAJ,Medical,2036451,Active,Direct Commission (Medical)
Navy,LCDR,Submarine,2036551,Reserve,OCS
Army,CPT,Infantry,2036651,Active,ROTC
Army,MAJ,Logistics,2036751,Active,ROTC
Army,CPT,Engineer,2036851,National Guard,OCS
Air Force,MAJ,Medical,2036951,Active,Direct Commission (Medical)
Army,CPT,Logistics,2037051,Reserve,OCS
Army,CPT,Medical Corps,2037151,National Guard,Direct Commission (Medical)
Air Force,CPT,Cyber Operations,2037251,National Guard,OCS
Army,MAJ,Field Artillery,2037351,Active,OCS
Army,MAJ,Intelligence,2037451,National Guard,OCS
Army,MAJ,Armor,2037551,Active,Service Academy
Army,MAJ,Intelligence,2037651,Active,OCS
Army,CPT,Armor,2037751,Active,Service Academy
Army,CPT,Field Artillery,2037851,Active,ROTC
Army,CPT,Logistics,2037951,Active,ROTC
Customs and Border Protection (CBP),GS-12,Cyber Operations,2580251,Civilian ,n/a
Army,CPT,Armor,2038151,Active,Service Academy
Army,CPT,Military Police,2038251,National Guard,ROTC
Army,MAJ,Signal Corps,2038351,Active,OCS
Army,CPT,Finance Corps,2038451,National Guard,OCS
Army,CPT,Logistics,2038551,National Guard,ROTC
Army,CPT,Aviation,2038651,Active,ROTC
Army,CPT,Field Artillery,2038751,Active,ROTC
Army,CPT,Finance Corps,2038851,Active,OCS
Navy,LT,Intelligence,2038951,Reserve,ROTC
Army,CPT,Infantry,2039051,Active,OCS
Army,MAJ,Medical Corps,2039151,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2039251,Active,ROTC
Army,MAJ,Finance Corps,2039351,Active,ROTC
Space Force,CPT,Intelligence,2039451,Reserve,ROTC
Army,CPT,Military Police,2039551,Active,ROTC
Army,MAJ,Logistics,2039651,National Guard,OCS
Army,MAJ,Armor,2039751,Active,ROTC
Army,MAJ,Military Police,2039851,National Guard,OCS
Army,MAJ,Engineer,2039951,Active,Service Academy
Army,MAJ,Finance Corps,2040051,Active,OCS
Navy,LT,Intelligence,2040151,Reserve,ROTC
Army,CPT,Cyber,2040251,Active,ROTC
Army,CPT,Armor,2040351,National Guard,OCS
Marines,CPT,Logistics,2040451,Reserve,OCS
Army,CPT,Field Artillery,2040551,Active,OCS
Army,CPT,Field Artillery,2040651,Active,OCS
Army,CPT,Infantry,2040751,Active,ROTC
Army,CPT,Armor,2040851,Active,OCS
Army,CPT,Field Artillery,2040951,Active,ROTC
Army,CPT,Intelligence,2041051,Active,Service Academy
Army,MAJ,Field Artillery,2041151,Active,OCS
Army,MAJ,Cyber,2041251,Active,ROTC
Army,MAJ,Finance Corps,2041351,Active,Service Academy
Army,CPT,Logistics,2041451,Active,ROTC
Army,MAJ,Infantry,2041551,Active,ROTC
Army,MAJ,Armor,2041651,National Guard,Service Academy
Army,CPT,Engineer,2041751,National Guard,OCS
Army,CPT,Finance Corps,2041851,Active,ROTC
Department of Homeland Security (DHS),GS-13,Logistics,2021951,Civilian ,n/a
Army,MAJ,Signal Corps,2042051,Active,OCS
Army,CPT,Finance Corps,2042151,National Guard,OCS
Army,CPT,Engineer,2042251,Active,ROTC
Army,CPT,Intelligence,2042351,Reserve,ROTC
Army,CPT,Armor,2042451,Active,OCS
Air Force,CPT,Medical,2042551,Active,Direct Commission (Medical)
Army,CPT,Medical Corps,2042651,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2042751,Active,ROTC
Air Force,MAJ,Pilot,2042851,Active,OCS
Army,MAJ,Engineer,2042951,Active,OCS
Army,CPT,Armor,2043051,Active,ROTC
Air Force,CPT,Cyber Operations,2043151,Active,ROTC
Army,CPT,Armor,2043251,Active,OCS
Army,CPT,Intelligence,2043351,Reserve,OCS
Air Force,CPT,Maintenance,2043451,Active,OCS
Army,MAJ,Military Police,2043551,Active,OCS
Army,CPT,Logistics,2043651,Active,Service Academy
Army,MAJ,Logistics,2043751,Active,ROTC
Army,MAJ,Field Artillery,2043851,Active,ROTC
Army,MAJ,Finance Corps,2043951,National Guard,ROTC
Army,CPT,Military Police,2044051,National Guard,OCS
Army,MAJ,Aviation,2044151,Reserve,ROTC
Army,CPT,Engineer,2044251,Active,ROTC
Air Force,MAJ,Intelligence,2044351,Active,OCS
Army,CPT,Signal Corps,2044451,Active,OCS
Army,CPT,Logistics,2044551,Active,Service Academy
Department of Homeland Security (DHS),GS-13,Logistics,2054551,Civilian ,n/a
Army,CPT,Aviation,2044751,Active,OCS
Army,CPT,Intelligence,2044851,Active,ROTC
Army,MAJ,Logistics,2044951,Active,ROTC
Army,MAJ,Finance Corps,2045051,Active,Service Academy
Army,CPT,Aviation,2045151,Active,Service Academy
Army,MAJ,Armor,2045251,Active,ROTC
Army,CPT,Engineer,2045351,Active,Service Academy
Army,MAJ,Infantry,2045451,Active,ROTC
Army,MAJ,Finance Corps,2045551,Active,ROTC
Army,CPT,Finance Corps,2045651,Active,ROTC
Army,CPT,Military Police,2045751,Active,ROTC
Army,MAJ,Logistics,2045851,Active,ROTC
Army,MAJ,Field Artillery,2045951,Active,OCS
Army,CPT,Cyber,2046051,Active,Service Academy
Army,CPT,Medical Corps,2046151,Active,Direct Commission (Medical)
Army,CPT,Intelligence,2046251,Active,ROTC
Army,CPT,Armor,2046351,National Guard,Service Academy
Army,MAJ,Aviation,2046451,Active,Service Academy
Army,CPT,Signal Corps,2046551,National Guard,ROTC
Army,CPT,Logistics,2046651,Active,ROTC
Army,MAJ,Field Artillery,2046751,Active,Service Academy
Army,CPT,Field Artillery,2046851,Reserve,Service Academy
Air Force,CPT,Maintenance,2046951,Active,Service Academy
Army,MAJ,Signal Corps,2047051,Active,ROTC
Army,CPT,Logistics,2047151,National Guard,ROTC
Army,CPT,Finance Corps,2047251,Active,Service Academy
Army,CPT,Field Artillery,2047351,National Guard,Service Academy
Air Force,MAJ,Medical,2047451,Active,Direct Commission (Medical)
Army,CPT,Aviation,2047551,Active,ROTC
Army,CPT,Medical Corps,2047651,Active,Direct Commission (Medical)
Army,MAJ,Finance Corps,2047751,Active,ROTC
Army,CPT,Armor,2047851,Active,ROTC
Army,CPT,Field Artillery,2047951,Active,Service Academy
Army,MAJ,Armor,2048051,Reserve,OCS
Army,MAJ,Cyber,2048151,Active,OCS
Army,MAJ,Field Artillery,2048251,Reserve,Service Academy
Army,CPT,Finance Corps,2048351,Active,OCS
Army,MAJ,Signal Corps,2048451,Active,Service Academy
Army,MAJ,Intelligence,2048551,Active,ROTC
Army,MAJ,Cyber,2048651,Active,ROTC
Army,MAJ,Medical Corps,2048751,Active,Direct Commission (Medical)
Army,CPT,Finance Corps,2048851,Active,ROTC
Army,CPT,Intelligence,2048951,Active,ROTC
Army,MAJ,Intelligence,2049051,Reserve,OCS
Army,MAJ,Infantry,2049151,Active,OCS
Army,CPT,Logistics,2049251,Active,OCS
Marines,MAJ,Logistics,2049351,Active,Service Academy
Space Force,CPT,Cyber Operations,2049451,Active,OCS
Army,MAJ,Field Artillery,2049551,Active,OCS
Army,MAJ,Infantry,2049651,Active,ROTC
Army,CPT,Armor,2049751,Active,Service Academy
Army,MAJ,Engineer,2049851,Active,OCS
Army,CPT,Military Police,2049951,Reserve,OCS
Army,MAJ,Medical Corps,2050051,Active,Direct Commission (Medical)
Army,CPT,Aviation,2050151,Active,Service Academy
Army,CPT,Engineer,2050251,Active,Service Academy
Army,MAJ,Medical Corps,2050351,Active,Direct Commission (Medical)
Department of Homeland Security (DHS),GS-12,Medical,2128151,Civilian ,n/a
Army,MAJ,Field Artillery,2050551,Active,ROTC
Army,MAJ,Medical Corps,2050651,Reserve,Direct Commission (Medical)
Army,MAJ,Military Police,2050751,Active,OCS
Army,MAJ,Armor,2050851,Active,ROTC
Air Force,MAJ,Medical,2050951,Reserve,Direct Commission (Medical)
Air Force,MAJ,Pilot,2051051,Reserve,ROTC
Army,MAJ,Field Artillery,2051151,Active,ROTC
Army,MAJ,Intelligence,2051251,Active,ROTC
Army,MAJ,Field Artillery,2051351,Active,OCS
Army,MAJ,Military Police,2051451,Active,ROTC
Army,MAJ,Engineer,2051551,Active,OCS
Army,MAJ,Finance Corps,2051651,Active,ROTC
Army,MAJ,Medical Corps,2051751,Reserve,Direct Commission (Medical)
